Question,Seq,Name,Format,Url,LocalPath,Bytes,SHA256,Validation
睡眠健康App上架前数据安全与素材合规预审,01,Apple App 审核指南,HTML,https://developer.apple.com/cn/app-store/review/guidelines/,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\睡眠健康App上架前数据安全与素材合规预审\附件一_Apple_App审核指南_官方中文页面.html,225376,D05E15CDE8955BDC282F524C73BD75F094E1D34067BB15B7BB015306111B5A68,PASS: keyword check OK
睡眠健康App上架前数据安全与素材合规预审,02,Apple App 产品页创建说明,HTML,https://developer.apple.com/cn/app-store/product-page/,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\睡眠健康App上架前数据安全与素材合规预审\附件二_Apple_App产品页创建说明_官方中文页面.html,120103,0FED58F3B524F30F341CE4942E328B493148F7B30E31DD4541F01AD6E2FA6797,PASS: keyword check OK
睡眠健康App上架前数据安全与素材合规预审,03,Apple App 隐私详情与数据类型说明,HTML,https://developer.apple.com/cn/app-store/app-privacy-details/,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\睡眠健康App上架前数据安全与素材合规预审\附件三_Apple_App隐私详情与数据类型说明_官方中文页面.html,131905,984064C4E1620FA39951370C79EE90C685BC42269E77C6DA62C23801700FADFE,PASS: keyword check OK
睡眠健康App上架前数据安全与素材合规预审,04,Google Play 数据安全表单帮助,HTML,https://support.google.com/googleplay/android-developer/answer/10787469?hl=zh-Hans,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\睡眠健康App上架前数据安全与素材合规预审\附件四_Google_Play数据安全表单帮助_官方中文页面.html,1487477,060A11317965EEF62873B8447E1E0079AAF542AC6D55E2ECF03267B8D1F7E496,PASS: keyword check OK
睡眠健康App上架前数据安全与素材合规预审,05,Google Play 健康类应用声明表单帮助,HTML,https://support.google.com/googleplay/android-developer/answer/13996367?hl=zh-Hans,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\睡眠健康App上架前数据安全与素材合规预审\附件五_Google_Play健康类应用声明表单帮助_官方中文页面.html,1390576,0D8BB21B7C8B45649C56E6FE1972AD56EDDBA1D07FECE93A0326D2E83595BF0C,PASS: keyword check OK
睡眠健康App上架前数据安全与素材合规预审,06,Google Play 健康类内容与服务政策,HTML,https://support.google.com/googleplay/android-developer/topic/9877466?hl=zh-Hans,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\睡眠健康App上架前数据安全与素材合规预审\附件六_Google_Play健康类内容与服务政策_官方中文页面.html,1407328,E9030E68A8846F4F49F477D1F7F6727608F23557F351BADC6136073B42AFCF07,PASS: keyword check OK
睡眠健康App上架前数据安全与素材合规预审,07,FTC 背书与推荐广告指南（2023）,PDF,https://www.ftc.gov/system/files/ftc_gov/pdf/p204500_endorsement_guides_in_2023.pdf,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\睡眠健康App上架前数据安全与素材合规预审\附件七_FTC_背书与推荐广告指南_2023.pdf,725040,6AFDFEB2253E27DD1A8ABC98EB1710FCC3631030F2DC48CFEA4B3C23057FC2EA,PASS: PDF signature OK
学校食堂托管续签前食品安全与合同整改审查,01,学校食品安全与营养健康管理规定,PDF,https://www.moe.gov.cn/jyb_xxgk/xxgk/zhengce/guizhang/202112/P020211208552028545827.pdf,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\学校食堂托管续签前食品安全与合同整改审查\附件一_教育部学校食品安全与营养健康管理规定.pdf,690250,7DB3957E32650BE24E0148E6B19C30E7724C61EE78852B17B03CD292B51BE68E,PASS: PDF signature OK
学校食堂托管续签前食品安全与合同整改审查,02,学校食堂委托管理服务合同示范文本,HTML,https://htsfwb.samr.gov.cn/View?id=96bca357-fa35-4893-b225-ebd7e356621d,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\学校食堂托管续签前食品安全与合同整改审查\附件二_市场监管总局学校食堂委托管理服务合同示范文本.html,52738,6E5FD01C87C8BD1669530DD7EC4773DFDBA1E4EC0CBAECEFE0FB412933433213,PASS: keyword check OK
学校食堂托管续签前食品安全与合同整改审查,03,食品生产经营企业落实食品安全主体责任规定,DOCX,https://sjfg.samr.gov.cn/law/file//docx/3235243/1664267667505.docx,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\学校食堂托管续签前食品安全与合同整改审查\附件三_市场监管总局食品生产经营企业落实食品安全主体责任规定.docx,26578,1E1F14AA021D301B79AE0F56A5112305D8F19FC1AC11E948CC665DA9582DA60D,PASS: DOCX signature OK
学校食堂托管续签前食品安全与合同整改审查,04,餐饮服务食品安全操作规范,HTML,https://scjgj.cq.gov.cn/zz/hcq/zwgk/fdzdgknr_146781/jdjc_146793/spyp/jczdbz/202112/t20211214_10167366.html,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\学校食堂托管续签前食品安全与合同整改审查\附件四_重庆市市场监管局餐饮服务食品安全操作规范页面.html,77265,FEB6D83A606A547FCEA975B6AAC0AF959D3A3270CFC60A0925D5D04CB29464DD,PASS: keyword check OK
学校食堂托管续签前食品安全与合同整改审查,05,食品经营许可和备案管理办法,HTML,https://www.gov.cn/gongbao/2023/issue_10606/202307/content_6894763.html,C:\Users\Carbene\Documents\GitHub\AI-Question-Generate\outputs\attachments\学校食堂托管续签前食品安全与合同整改审查\附件五_中国政府网食品经营许可和备案管理办法.html,72825,FA589687A9655C46AD62EF4EB486928C11B51E150FC1E872408307A210DB5891,PASS: keyword check OK
